Year,Stock Average
1980,275.24
1981,508.33
1982,509.52
1983,942.75
1984,1268.50
1985,1801.19
1986,2931.14
1987,3445.71
1988,3646.25
1989,5688.25
1990,6842.25
1991,8093.18
1992,8985.48
1993,12351.19
1994,16101.32
1995,22422.37
1996,33721.43
1997,37506.82
1998,69009.76
1999,75328.57
2000,58552.63
2001,67172.50
2002,71643.18
2003,70838.10
2004,94023.10
2005,86167.90
2006,88280.79
2007,109518.25
2008,130808.64
2009,91062.33
2010,120015.29
2011,123568.35
2012,120599.20
2013,159350.68
2014,188848.43
2015,215593.63
2016,216974.74
2017,249640.59
2018,299431.55
2019,314395.83
2020,283204.25
2021,405982.19
